ratio,word
0.5280839377069755,青蛙
0.33885491705920723,2018-01-22
0.33885491705920723,15:52:52
0.3387392037119462,旅行
0.287175359036011,下载
0.219669552760746,二维码
0.20137893084674988,app
0.18488086356164726,浏览器
0.16593868132125758,识别
0.15297419866235515,微信
0.1472535718822585,三星
0.14271149160274288,回答
0.1380133460121263,打开
0.11890618118167921,里边
0.111553304232246,找到
0.09872707835093801,自动
0.08997476064548167,终于
0.06695157074573922,扫
0.05690228051496212,忘
0.04172503388004467,数
0.03217355622119166,我
0.02564797917457847,这个
0.024271109088344695,就
0.022848945361952155,了
0.021947502821250478,怎么
0.021178432316200452,s7
0.018003196460336445,下
0.017205367690293957,在
0.016424004085570373,好
0.016320116445688544,什么
0.01293939530940376,是
0.010050368532649519,也
0.009289039486321232,有
0.008109652074612058,z
0.006828714581023949,t
