ratio,word
0.4618688396257367,媳妇儿
0.4046537272064761,06:21:55
0.4046537272064761,2014-07-22
0.31531360903000033,青蛙
0.2996675398918005,特产
0.24307115775145888,宠物
0.20225777232714992,旅行
0.1781522646180834,儿子
0.17205545358568278,旅游
0.17042319318670335,回答
0.1618805395988099,回来
0.1583837900430826,特殊
0.1070882713788359,喜欢
0.0681242819344403,养
0.04982719632315808,数
0.0471496558091862,找
0.03842101379369244,我
0.03822980674472153,带
0.03470586616209025,哪些
0.026465117735409775,过
0.02436787206424246,你
0.023954070183257962,给
0.023116039555405477,他
0.017281845400482655,个
0.017100218944896994,还
0.01364287551689201,了
0.009684383413465754,z
0.008154713619686779,t
