ratio,word
0.46558017212371544,佛系
0.46558017212371544,娱乐圈
0.37246413769897235,2018-01-25
0.37246413769897235,12:26:50
0.2439921406183137,茜茜
0.23958128044603008,浮躁
0.1950940864803656,刘亦菲
0.17738592302585202,低调
0.15686628696688543,回答
0.14414079225706058,图片
0.10437030571367305,侵
0.10020829499674698,微博
0.08859182328873287,佛
0.08474018063373523,还有
0.08317164313242123,删
0.05808321910162388,取
0.0505697306146411,系
0.045863518521337535,数
0.04385634699941982,超
0.03830240560579691,美
0.03591012103724113,很
0.0337463551253191,自
0.015726330757757034,人
0.008914005419261154,z
0.007506018534678882,t
0.007111392625034725,是
