ratio,word
0.5350494962989558,社交
0.3990148580399945,11:28:25
0.3990148580399945,2018-01-27
0.3109196987106619,青蛙
0.2651857902510895,孤单
0.2126758612989127,属性
0.20407538906213943,进去
0.19943930053416709,旅行
0.1904737355887351,样子
0.16804833778638847,回答
0.11473538200897525,游戏
0.08835210770249324,发展
0.08719207258403126,烦
0.049132851943980975,数
0.04607527984584023,加
0.03486165273713289,成
0.033132453060498245,没
0.023620269062233846,给
0.019217572533069584,什么
0.016548811224586197,会
0.015100747036775353,这个
0.010938205660786527,有
0.009549431064444851,z
0.008041077292872281,t
