ratio,word
0.508724231465383,07:45:18
0.508724231465383,2018-01-08
0.3964072554866511,青蛙
0.2935779676392868,无聊
0.25427525527901046,旅行
0.21516933034378136,粉丝
0.2142533285836855,回答
0.1859241341881802,明星
0.1462819437880496,游戏
0.0845870166613598,不然
0.06264195891772742,数
0.06241851700968544,玩
0.0562168945374366,吗
0.051698283583959656,真
0.051694223250247105,爱
0.03149341198173941,这么
0.02415114380540946,我
0.021098916750236597,会
0.01999491214008377,他们
0.01217505283651474,z
0.010251976294978397,t
0.009712982759009297,是
