ratio,word
0.6874326515085399,基金
0.49033807798107576,赎回
0.28497969018243935,兴全
0.17887376708091404,公司
0.13914282516709783,冲击波
0.1271563247063232,快速
0.11153020953901742,额度
0.09456631501024809,开会
0.09295722826946454,认购
0.0903279330518305,销售
0.08614799851112907,客服
0.0854939070547318,认购费
0.064379924598173,客户
0.06419859364698391,权益
0.061008104174483005,热销
0.05706411529062664,基民
0.056295641320327154,紧急
0.049879759159442955,募集
0.04870823905976804,网站
0.046883177167037195,网银
0.04495802166199876,君
0.04305155441600883,兴
0.03807923815238744,货币
0.03455255713767453,主动
0.034379901797188375,销售员
0.03306823646970819,蓝筹股
0.03250273499747331,耗尽
0.0322538430034105,炒股
0.03192063544366759,股市
0.03050128560144587,隔壁
0.03013681416829706,学习
0.029807921766581046,下午
0.02967011324313025,经验
0.029564452339068577,资金
0.029121395432764877,应对
0.028797337549793037,号召力
0.028497969018243932,快赎额
0.028497969018243932,家快赎
0.028497969018243932,点钟
0.028497969018243932,偏蓝筹
0.027104196366373377,尝试
0.026496455847360136,邻居
0.025040576870632252,现象
0.023999937359878702,2017年
0.02332037114987231,进去
0.02320452646919244,电话
0.02302936181948397,银行
0.022719034472458977,综合
0.022717048927374195,合宜
0.02215232477330602,影响
0.022059042074061178,刷新
0.021335225167462286,通联
0.020755491604028578,官网
0.0207208755773022,历史
0.020388656704250375,业内
0.020001244353317918,经理
0.019948578312770752,高艳云
0.019918457846899704,东方红
0.01979474381964642,投资
0.01943373038015115,金额
0.019220982025140596,旗下
0.019155470201697593,自家
0.019055536564476505,提示
0.018841449624852947,业绩
0.018508074464146353,人员
0.018300754990561573,需要
0.018164302766188686,收市
0.018089528503447326,冲击
0.01803037339862884,爆款
0.01792025728426496,成功
0.017883561493929865,调集
0.017633948461583466,资管
0.017432377026115924,随后
0.017145612133946966,风口
0.01699011499879088,半价
0.016862679842169728,投资者
0.0167940074944028,点位
0.016756753513750187,招行
0.016660318931855687,嘉实
0.016435873477334075,多渠道
0.01637267827617697,活期
0.016241546940651885,措手不及
0.015829390935216667,表示
0.015816021836111725,产品
0.01567961491096238,交易
0.015571126736471244,在于
0.015561540442403628,建行
0.015455375706049879,工行
0.015221783334761981,全
0.015114451409318289,2007年
0.015080462782923775,蓝筹
0.015043989831469227,出现
0.015020516273043533,操作
0.01501128657483524,费率
0.015007912061529788,规模
0.01499696284254498,实际
0.014927699201182865,单日
0.014835447383043333,吸引
0.014758345655695322,享受
0.01470513217417157,三点
