ratio,word
0.7053675371126543,王劲
0.423041231260897,景驰
0.21594754639967914,ebay
0.21008524340643028,百度
0.16453915236463904,谷歌
0.11303230835945892,驾驶
0.08659755919809031,易趣
0.08193923459425413,吴炯
0.08046397826151672,公司
0.07023362965221784,易趣网
0.06831004641624583,事业部
0.06509673005705832,工程师
0.0641130151797851,中国
0.059064801254733165,当时
0.05735746421597789,王钧
0.05440008116709873,总部
0.054227797121900095,团队
0.053313804695611394,技术
0.04711531669568282,李彦宏
0.046899526713484005,美国
0.04673196696891145,李开复
0.04569653088566723,他
0.04468644407418731,甲骨文
0.0442661649772889,分拆
0.041022180001056674,informix
0.041022180001056674,cto
0.039765518615752025,创始人
0.03899879812816771,融资
0.038458293750990635,无人车
0.03845585168403498,硅谷
0.03589440750092459,吕厚昌
0.03589440750092459,戴文渊
0.035352617935732925,面试
0.03449206470713532,互联网
0.03322816080190848,科技
0.03271852825113011,无
0.03261489299590339,企业家
0.03238815511381539,2017年
0.031350337357636475,开发区
0.03131474017441511,电话
0.030766635000792505,e-loan
0.030740747936324097,高管
0.03048752977029677,研发
0.030055252828891217,雅虎
0.029991339771933034,凤巢
0.029377135219278386,总经理
0.029346638656722226,山景城
0.02923970696533557,阿里巴巴
0.028331541370031348,资本
0.02747552373372967,华创
0.027394411055027875,黄浦区
0.027393453441368763,c2c
0.026949676122191752,变现
0.02684685246165907,人
0.025838289176333254,离开
0.02563886250066042,昆仲
0.02563886250066042,盈利性
0.025445038693445554,范丽
0.02538324856579247,管理者
0.025313636022661835,高级
0.02516842064198974,无人
0.02505496313571977,纳斯达克
0.024949137190725026,淘宝网
0.024830427697398127,我
0.02479244573386222,出租车
0.024253431476781093,广告
0.02361163008543138,创业
0.023385573268286677,管理
0.023196928784815014,广州
0.022928329842323455,礼堂
0.022822611066901102,起诉
0.022254127711465285,告诉
0.02217577892079289,车
0.02213743520010559,高楼
0.02192568571716662,投资人
0.021901540600714007,份额
0.02184623861255709,起来
0.02129259284917402,员工
0.020961080629331937,决定
0.02092037526585225,觉得
0.02081331942459628,招聘
0.020653011502083117,加入
0.020536944393326033,总裁
0.020530201148515444,雇员
0.020511090000528337,jin
0.020511090000528337,robin
0.020511090000528337,convince
0.020261008132449968,淘宝
0.020228938064310427,offer
0.02001689323495418,湾区
0.01997342915172925,开始
0.019478851929522006,身份
0.019436990795211922,简历
0.01939458864897739,认为
0.01938669614738709,adsense
0.01910862400253694,时候
0.019093271198754876,在
0.01885115985990157,上海
0.01862636859089023,微软
0.018471611314159992,市场
