ratio,word
0.6841104723509454,獐子岛
0.42499305397188714,中富
0.2717610659954493,扇贝
0.22431824962210895,减持
0.16277285219669638,股东
0.1252114687922807,和岛
0.12127143525550982,股价
0.09511460682476233,暴跌
0.09277671649662497,股份
0.0843587809595652,2017年
0.08164372172739179,名单
0.07871582743947923,恒邦
0.07512688127536843,牛散花
0.06859942345055871,虾夷
0.06689014656165787,牛散
0.06392694023487887,2015年
0.06330262267472488,流通
0.06087967102389956,广信
0.0601623285780024,公告
0.05665278953509309,散户
0.05576874377731012,辅仁
0.05526465417339817,事件
0.05239448722415114,公司
0.050084587516912284,底播虾夷
0.050084587516912284,融捷
0.050084587516912284,湘邮
0.050084587516912284,a股
0.04965714184365815,花
0.04769007551826421,基金
0.04693463850788153,季报
0.044753759625788724,任性
0.04152153352584126,药业
0.04138131041716599,国通
0.041377862148749785,存货
0.04091008902395564,抄底
0.04067129297128527,冷水
0.04042442756938315,股民
0.037879401041098985,似乎
0.03625827437304295,股
0.03386864007047173,计划
0.03286380485124305,海域
0.03200505777752154,复牌
0.030085040634733943,公布
0.029741525006533022,出逃
0.02962515359087435,消失
0.029531758821970778,进入
0.02919824146073254,2014年
0.028990708617844963,投资
0.028781836718880825,亏损
0.027717254925900707,异常
0.02653458558949104,中报
0.026018422154135717,30日
0.025885661684663427,出事
0.025282617910113967,失踪
0.025042293758456142,动让獐子岛
0.025042293758456142,昨晚獐子岛
0.025042293758456142,跻进
0.025042293758456142,冷水团
0.025042293758456142,三季报
0.025042293758456142,千评
0.025042293758456142,中数獐子岛
0.025042293758456142,折戟獐子岛
0.024889859149254723,上市
0.024835091723834475,业绩
0.024693678990292362,暴涨
0.023352534258802984,勇士
0.023280604272209723,元
0.02249445738338882,理念
0.022032915890585005,出现
0.021751120319340556,买入
0.02163470625287989,比例
0.021411547789130368,发布
0.02127587829729959,预期
0.020698410389610577,价格
0.020278119169579188,12月
0.020033835006764915,11月份
0.020033835006764915,1月份
0.019962370378055136,大仙
0.019962370378055136,国机
0.019151186729209773,再次
0.019012568193483226,股灾
0.018832397126276934,播下
0.018798021547671764,消息
0.018306167740918047,躺枪
0.018254424408531714,导致
0.018221870964502312,1日
0.01817201551881467,分别
0.01811670737297249,死亡
0.017908380862456098,购买
0.017700455607787238,之后
0.017687504662298247,只字不提
0.017607519208714197,已经
0.0175296056309193,花中富
0.0175296056309193,陈靖
0.0172382601356087,情况
0.01718988286901783,三季度
0.01714204681469466,核销
0.017105706050983428,跌价
0.017011075185210008,盈利
0.016714832523204822,灭顶之灾
