ratio,word
0.7540029236152616,私募
0.20436804395803693,华某
0.1922222489408117,股票
0.1915025201805712,产品
0.1908761446825346,收入
0.1647640271830471,业绩
0.12330612612111491,明星
0.11521764316511653,量化
0.11114586933360376,提成
0.10070304488584345,券商
0.0908589091559422,规模
0.08879778606409047,管理费
0.08536108943378035,发行
0.08072068620980329,2017年
0.07868291186204998,管理
0.07117140677809752,资管
0.06709958640975301,去年
0.06668752160016225,创收
0.06448129172296937,收益
0.06368078823624498,员工
0.060844495814084104,基金
0.06014647219639673,渠道
0.05667907428833235,投身
0.05347722558954721,公司
0.05273588696096545,分化
0.05235720599946804,辞职
0.05210120729510736,人均
0.0494279509837606,计算
0.049105726392959334,市场
0.04878650047352621,策略
0.047338066140436834,一般
0.047281551643213876,人士
0.04317121192050282,两极
0.042579494695416165,时报
0.042243930138259986,火爆
0.04221227849933532,占比
0.041411933747789224,2016年
0.041330731871843336,公募
0.04130379887955152,超过
0.04114476638962815,业内
0.04036295957877289,经理
0.040265111043055815,通常
0.039114462849880766,净值
0.03899194694625759,返还
0.03833969364576693,白马股
0.03833969364576693,公奔私
0.03833969364576693,旱死
0.03833969364576693,奔私
0.03833969364576693,类遇冷
0.03833969364576693,a股
0.03833969364576693,年终奖
0.037988212611346085,多头
0.037586050934846155,上海
0.03665399913837356,证券
0.03560463740272535,行业
0.03417813969303027,类
0.03396888128083231,上述
0.03362247267126735,飙升
0.03356272508484203,对接
0.03355282413412354,募集
0.032362028076907814,感叹
0.032237317705287254,合计
0.03192307356198123,收益率
0.03067175491661354,cta
0.028703308515083976,绩优
0.02837578863147407,分配
0.028069786590648817,全年
0.02693511247653473,鼓足
0.02683778555203685,谢海平
0.02683778555203685,许孝如
0.026672113252801877,大幅
0.026630824581072115,投资
0.026464599490267283,明显
0.02585891513682659,旗下
0.025810224332259168,今年
0.02572927190840187,能人
0.025709327731292586,提升
0.02536656968267759,沈宁
0.02522021749542952,记者
0.02411475052382353,响当当
0.0239260215432014,进账
0.02386477671078532,可能
0.023534230190879524,月工资
0.02346608877303795,新年伊始
0.02327704246160508,追求
0.023242611683805006,主动
0.022784991825948443,平缓
0.02267374360518856,年初
0.022610681453092137,掌舵
0.022445849270829987,更有甚者
0.022382346101970978,年金
0.022320145654534333,税负
0.022298247109118145,平均
0.02227659445591558,元
0.022081790053583066,比例
0.021772451436173238,不无关系
0.021653355230782923,客户
0.021645755980117726,表现
0.02139823111322646,所得税
0.021126836705349136,跳槽
