ratio,word
0.398436872429462,蛙包
0.3187494979435696,2018-01-31
0.3186406502642592,旅行
0.30735803281457663,延吉
0.3040380053886494,中顺
0.2650154513990914,便当
0.24837545737421077,青蛙
0.2360509034475226,刷屏
0.22382547432313357,玩儿
0.19468143624496811,首付
0.17796363075832555,利息
0.16649174383274948,热线
0.14992580289290866,保养
0.13112757981400758,高级
0.1182207641529368,免费
0.08446399357171995,朋友
0.08172130277930473,一起
0.07606824273200322,最近
0.07506327279756583,超
0.07350489629318546,天天
0.06349501956156704,公里
0.06177163684271357,低
0.05891696501106902,塞
0.05738407245394911,宝
0.04865649758173798,购
0.04413722201810905,圈
0.0426722581457787,往
0.04204749126967134,供
0.0383895981388905,你
0.035645275583199465,需
0.0352236158638216,吗
0.03446193448192295,车
0.02850056305014261,月
0.027691909250800683,仅
0.024726970098589606,里
0.023150463082467727,元
0.02229862248962259,想
0.018208718979547487,他
0.017701377253330475,年
0.01536568476421268,很
0.008176871803663523,和
0.005394838161428117,在
