,date,open,close,high,low,volume,code
0,2018-01-02,4.31,4.33,4.4,4.3,177233.0,000631
1,2018-01-03,4.32,4.36,4.39,4.31,136322.0,000631
2,2018-01-04,4.34,4.33,4.36,4.28,80546.0,000631
3,2018-01-05,4.32,4.46,4.61,4.29,309200.0,000631
4,2018-01-08,4.49,4.55,4.7,4.38,292860.0,000631
5,2018-01-09,4.56,5.01,5.01,4.55,343507.0,000631
6,2018-01-10,5.2,4.79,5.2,4.75,812817.0,000631
7,2018-01-11,4.73,4.84,4.9,4.56,501276.0,000631
8,2018-01-12,4.76,4.74,5.05,4.7,517831.0,000631
9,2018-01-15,4.63,4.66,4.83,4.62,285458.0,000631
10,2018-01-16,4.64,4.79,4.86,4.58,355897.0,000631
11,2018-01-17,4.79,4.59,4.79,4.55,273734.0,000631
12,2018-01-18,4.59,4.59,4.66,4.55,134811.0,000631
13,2018-01-19,4.6,4.61,4.78,4.57,205030.0,000631
14,2018-01-22,4.59,4.66,4.66,4.52,156711.0,000631
15,2018-01-23,4.64,4.68,4.75,4.62,215250.0,000631
16,2018-01-24,4.66,4.56,4.66,4.53,206300.0,000631
17,2018-01-25,4.54,4.47,4.55,4.44,170419.0,000631
18,2018-01-26,4.45,4.52,4.56,4.44,173235.0,000631
19,2018-01-29,4.49,4.49,4.59,4.47,134982.0,000631
20,2018-01-30,4.56,4.56,4.64,4.48,202249.0,000631
21,2018-01-31,4.5,4.62,4.68,4.44,232065.0,000631
22,2018-02-01,4.58,4.31,4.66,4.2,242334.0,000631
23,2018-02-02,4.25,4.23,4.3,4.11,112989.0,000631
24,2018-02-05,4.19,4.26,4.28,4.1,120176.0,000631
