,date,open,close,high,low,volume,code
0,2018-01-02,11.87,11.85,11.95,11.74,51762.0,002139
1,2018-01-03,11.82,11.97,12.12,11.82,96399.0,002139
2,2018-01-04,11.91,11.87,12.01,11.8,52408.0,002139
3,2018-01-05,11.94,11.77,11.99,11.65,85281.0,002139
4,2018-01-08,11.66,11.46,11.74,11.27,135513.0,002139
5,2018-01-09,11.46,11.47,11.54,11.38,58374.0,002139
6,2018-01-10,11.42,11.28,11.55,11.24,54183.0,002139
7,2018-01-11,11.26,11.27,11.43,10.98,105247.0,002139
8,2018-01-12,11.2,10.96,11.42,10.95,102215.0,002139
9,2018-01-15,10.88,10.5,10.89,10.45,135206.0,002139
10,2018-01-16,10.63,10.24,10.63,10.09,210099.0,002139
11,2018-01-17,10.23,10.46,10.55,9.94,128468.0,002139
12,2018-01-18,10.38,10.61,10.62,10.34,95278.0,002139
13,2018-01-19,10.58,10.35,10.68,10.29,112981.0,002139
14,2018-01-22,10.36,10.48,10.57,10.18,96572.0,002139
15,2018-01-23,10.48,10.18,10.53,10.06,213629.0,002139
16,2018-01-24,10.2,10.26,10.35,10.07,124706.0,002139
17,2018-01-25,10.31,10.26,10.45,10.25,152134.0,002139
18,2018-01-26,10.24,10.07,10.32,10.0,147805.0,002139
19,2018-01-29,10.03,9.8,10.14,9.73,149182.0,002139
20,2018-01-30,9.85,9.89,10.0,9.84,77788.0,002139
21,2018-01-31,9.96,9.85,9.97,9.71,78000.0,002139
22,2018-02-01,9.86,9.39,9.9,9.3,113427.0,002139
23,2018-02-02,9.28,9.44,9.6,9.23,66883.0,002139
24,2018-02-05,9.4,9.14,9.44,9.07,104580.0,002139
