,date,open,close,high,low,volume,code
0,2018-01-02,18.99,19.2,19.24,18.83,10369.0,300447
1,2018-01-03,19.2,19.29,19.38,19.04,9816.0,300447
2,2018-01-04,19.37,19.28,19.39,18.91,7552.0,300447
3,2018-01-05,19.23,19.08,19.28,19.02,7442.0,300447
4,2018-01-08,19.1,19.07,19.24,18.91,5779.0,300447
5,2018-01-09,19.0,19.17,19.2,18.98,8468.0,300447
6,2018-01-10,19.18,18.88,19.36,18.82,6777.0,300447
7,2018-01-11,18.88,19.02,19.16,18.85,6938.0,300447
8,2018-01-12,19.1,18.66,19.1,18.64,7021.0,300447
9,2018-01-15,18.68,17.46,18.68,17.38,15866.0,300447
10,2018-01-16,17.55,16.91,17.57,16.83,27847.0,300447
11,2018-01-17,16.97,17.18,17.35,16.81,19650.0,300447
12,2018-01-18,17.17,17.23,17.29,16.99,10429.0,300447
13,2018-01-19,17.29,17.4,18.0,17.29,15645.0,300447
14,2018-01-22,17.45,17.59,17.85,17.2,9873.0,300447
15,2018-01-23,17.75,18.09,18.29,17.62,15743.0,300447
16,2018-01-24,18.2,17.99,18.2,17.71,12429.0,300447
17,2018-01-25,17.99,18.02,18.28,17.99,10678.0,300447
18,2018-01-26,17.9,17.73,18.22,17.71,7910.0,300447
19,2018-01-29,17.71,17.29,17.91,17.2,8977.0,300447
20,2018-01-30,17.43,18.22,18.5,17.35,21943.0,300447
21,2018-01-31,18.07,16.95,18.07,16.88,29510.0,300447
22,2018-02-01,16.89,16.4,17.25,16.4,14719.0,300447
23,2018-02-02,16.22,15.86,16.35,15.01,11599.0,300447
24,2018-02-05,15.7,15.81,16.1,15.5,8650.0,300447
