,date,open,close,high,low,volume,code
0,2018-01-02,3.72,3.85,3.91,3.66,484437.0,600777
1,2018-01-03,3.86,3.92,3.95,3.83,387264.0,600777
2,2018-01-04,4.0,4.0,4.13,3.94,754475.0,600777
3,2018-01-05,4.1,3.94,4.11,3.87,489888.0,600777
4,2018-01-08,3.94,3.95,4.0,3.9,414212.0,600777
5,2018-01-09,3.94,3.78,3.94,3.77,421655.0,600777
6,2018-01-10,3.83,3.76,3.92,3.73,547771.0,600777
7,2018-01-11,3.8,3.78,3.82,3.72,304367.0,600777
8,2018-01-12,3.77,3.81,3.81,3.74,179313.0,600777
9,2018-01-15,3.85,3.77,3.85,3.75,282579.0,600777
10,2018-01-16,3.74,3.68,3.77,3.66,263022.0,600777
11,2018-01-17,3.64,3.68,3.7,3.55,255591.0,600777
12,2018-01-18,3.66,3.7,3.76,3.63,186194.0,600777
13,2018-01-19,3.7,3.64,3.72,3.61,172085.0,600777
14,2018-01-22,3.64,3.59,3.66,3.52,485763.0,600777
15,2018-01-23,3.6,3.65,3.66,3.56,220981.0,600777
16,2018-01-24,3.66,3.65,3.68,3.62,243447.0,600777
17,2018-01-25,3.67,3.66,3.67,3.62,214277.0,600777
18,2018-01-26,3.65,3.63,3.65,3.58,194630.0,600777
19,2018-01-29,3.63,3.66,3.67,3.62,261820.0,600777
20,2018-01-30,3.6,3.6,3.65,3.58,166429.0,600777
21,2018-01-31,3.53,3.45,3.6,3.36,368605.0,600777
22,2018-02-01,3.45,3.31,3.45,3.25,410253.0,600777
23,2018-02-02,3.31,3.31,3.32,3.16,221718.0,600777
24,2018-02-05,3.22,3.3,3.34,3.21,149181.0,600777
