,date,open,close,high,low,volume,code
0,2018-01-02,19.5,20.11,20.13,19.5,91355.0,300296
1,2018-01-03,20.1,20.99,21.2,20.03,153188.0,300296
2,2018-01-04,20.91,21.15,21.25,20.86,82596.0,300296
3,2018-01-05,21.19,21.12,21.45,20.9,98181.0,300296
4,2018-01-08,21.1,20.47,21.11,20.23,150091.0,300296
5,2018-01-09,20.65,20.82,21.3,20.52,95074.0,300296
6,2018-01-10,20.82,20.38,20.85,20.28,74409.0,300296
7,2018-01-11,20.45,20.57,20.67,20.34,68993.0,300296
8,2018-01-12,20.5,20.13,20.5,20.1,75941.0,300296
9,2018-01-15,20.21,19.49,20.23,19.31,145860.0,300296
10,2018-01-16,19.49,18.98,19.58,18.83,132138.0,300296
11,2018-01-17,18.97,19.54,19.64,18.33,131475.0,300296
12,2018-01-18,19.64,19.26,19.98,19.21,73477.0,300296
13,2018-01-19,19.26,19.36,19.63,19.06,64896.0,300296
14,2018-01-22,19.35,19.91,20.02,18.98,101237.0,300296
15,2018-01-23,19.99,20.38,20.48,19.65,102324.0,300296
16,2018-01-24,20.43,20.27,20.59,19.88,93195.0,300296
17,2018-01-25,20.33,20.5,20.97,20.25,100655.0,300296
18,2018-01-26,20.46,20.53,20.83,20.36,57588.0,300296
19,2018-01-29,20.6,20.2,21.15,20.08,92788.0,300296
20,2018-01-30,20.5,20.29,20.78,20.2,60704.0,300296
21,2018-01-31,20.28,20.0,20.49,19.79,63280.0,300296
22,2018-02-01,19.99,19.35,20.24,18.88,109857.0,300296
23,2018-02-02,18.97,19.55,19.77,18.97,73810.0,300296
24,2018-02-05,19.24,18.69,19.66,18.5,130677.0,300296
