,date,open,close,high,low,volume,code
0,2018-01-02,31.72,31.77,31.9,31.53,226115.0,600104
1,2018-01-03,31.77,31.53,32.04,31.42,313794.0,600104
2,2018-01-04,31.5,31.63,31.95,31.33,237603.0,600104
3,2018-01-05,31.65,31.92,31.95,31.53,222950.0,600104
4,2018-01-08,31.97,32.41,32.75,31.94,369558.0,600104
5,2018-01-09,32.37,32.44,32.67,32.17,234624.0,600104
6,2018-01-10,32.7,33.87,34.23,32.6,507759.0,600104
7,2018-01-11,33.6,33.83,33.95,33.33,243502.0,600104
8,2018-01-12,33.66,33.91,34.3,33.51,201355.0,600104
9,2018-01-15,33.83,33.5,33.83,33.11,332662.0,600104
10,2018-01-16,33.41,32.32,33.45,32.23,577530.0,600104
11,2018-01-17,32.65,32.53,32.98,32.25,407618.0,600104
12,2018-01-18,32.76,32.53,33.08,32.42,389654.0,600104
13,2018-01-19,32.69,32.83,33.48,32.36,347555.0,600104
14,2018-01-22,32.95,33.75,33.85,32.88,362984.0,600104
15,2018-01-23,33.85,33.97,34.48,33.72,361773.0,600104
16,2018-01-24,34.25,33.96,34.36,33.63,279046.0,600104
17,2018-01-25,34.02,34.88,34.96,33.55,484314.0,600104
18,2018-01-26,34.95,34.98,35.27,34.59,313352.0,600104
19,2018-01-29,35.0,34.46,35.88,34.45,367266.0,600104
20,2018-01-30,34.33,34.42,34.8,33.96,182456.0,600104
21,2018-01-31,34.21,34.39,34.84,34.07,221412.0,600104
22,2018-02-01,34.58,34.87,34.9,34.04,458881.0,600104
23,2018-02-02,34.65,34.7,34.82,34.2,211824.0,600104
24,2018-02-05,34.45,34.15,34.51,33.88,259667.0,600104
