,date,open,close,high,low,volume,code
0,2018-01-02,34.89,35.13,35.24,34.88,13475.0,603603
1,2018-01-03,35.62,37.24,37.86,35.62,71632.0,603603
2,2018-01-04,36.7,36.44,37.29,36.2,42373.0,603603
3,2018-01-05,36.27,36.44,36.89,36.02,23494.0,603603
4,2018-01-08,36.55,36.18,36.98,35.79,17767.0,603603
5,2018-01-09,36.01,35.76,36.45,35.53,17647.0,603603
6,2018-01-10,35.62,34.89,35.91,34.61,20036.0,603603
7,2018-01-11,34.59,34.98,35.29,34.35,14866.0,603603
8,2018-01-12,34.75,34.98,35.43,34.51,15568.0,603603
9,2018-01-15,34.81,33.16,34.98,33.0,19371.0,603603
10,2018-01-16,33.0,33.09,33.46,32.88,15135.0,603603
11,2018-01-17,33.1,33.51,33.8,32.43,21871.0,603603
12,2018-01-18,33.4,32.95,33.4,32.88,15552.0,603603
13,2018-01-19,32.95,32.55,33.22,32.5,15110.0,603603
14,2018-01-22,32.59,32.92,33.28,32.59,14237.0,603603
15,2018-01-23,32.7,32.7,33.15,32.59,10505.0,603603
16,2018-01-24,32.74,32.86,32.99,32.1,17327.0,603603
17,2018-01-25,32.86,32.62,33.18,32.5,17453.0,603603
18,2018-01-26,32.0,32.02,32.59,32.0,18245.0,603603
19,2018-01-29,32.0,29.85,32.0,29.1,32242.0,603603
20,2018-01-30,29.53,28.6,29.82,28.5,24766.0,603603
21,2018-01-31,28.32,26.21,28.5,26.1,27727.0,603603
