,date,open,close,high,low,volume,code
0,2018-01-02,8.69,8.96,8.99,8.66,1091646.0,600019
1,2018-01-03,8.98,8.93,9.2,8.88,842728.0,600019
2,2018-01-04,8.91,8.94,9.14,8.9,748724.0,600019
3,2018-01-05,8.96,8.87,9.02,8.81,646156.0,600019
4,2018-01-08,8.87,9.29,9.34,8.83,1434779.0,600019
5,2018-01-09,9.29,9.1,9.29,9.01,1025350.0,600019
6,2018-01-10,9.0,9.05,9.13,8.94,686459.0,600019
7,2018-01-11,9.05,8.83,9.06,8.78,846260.0,600019
8,2018-01-12,8.88,9.09,9.11,8.81,954940.0,600019
9,2018-01-15,9.03,8.82,9.04,8.75,1052895.0,600019
10,2018-01-16,8.82,8.87,8.89,8.75,719908.0,600019
11,2018-01-17,8.85,8.95,9.09,8.78,1047563.0,600019
12,2018-01-18,8.95,9.22,9.34,8.86,2322396.0,600019
13,2018-01-19,9.25,9.31,9.65,9.15,4229888.0,600019
14,2018-01-22,9.4,9.32,9.51,9.23,2897357.0,600019
15,2018-01-23,9.31,9.24,9.33,9.13,2852061.0,600019
16,2018-01-24,9.26,9.3,9.47,9.19,2325136.0,600019
17,2018-01-25,9.31,9.74,9.77,9.26,3091455.0,600019
18,2018-01-26,9.73,9.71,9.96,9.54,3255862.0,600019
19,2018-01-29,9.87,10.01,10.21,9.86,2592557.0,600019
20,2018-01-30,10.01,9.77,10.17,9.73,1781167.0,600019
21,2018-01-31,9.73,9.98,10.03,9.58,1620565.0,600019
22,2018-02-01,10.18,10.28,10.55,10.03,2209584.0,600019
23,2018-02-02,10.18,11.1,11.13,10.01,2784745.0,600019
24,2018-02-05,10.92,11.23,11.45,10.87,2681711.0,600019
