,date,open,close,high,low,volume,code
0,2018-01-02,8.97,9.03,9.05,8.93,47298.0,002121
1,2018-01-03,9.03,9.06,9.08,8.96,70542.0,002121
2,2018-01-04,9.01,8.95,9.05,8.93,54522.0,002121
3,2018-01-05,8.95,8.91,9.0,8.88,50429.0,002121
4,2018-01-08,8.99,9.06,9.06,8.92,74087.0,002121
5,2018-01-09,9.08,9.17,9.26,9.01,109595.0,002121
6,2018-01-10,9.18,9.04,9.18,8.97,66308.0,002121
7,2018-01-11,9.05,9.0,9.06,8.86,86918.0,002121
8,2018-01-12,9.05,8.99,9.05,8.93,51407.0,002121
9,2018-01-15,9.01,8.76,9.01,8.73,79112.0,002121
10,2018-01-16,8.75,8.78,8.82,8.74,43966.0,002121
11,2018-01-17,8.8,8.7,8.84,8.6,50115.0,002121
12,2018-01-18,8.7,8.66,8.74,8.65,35970.0,002121
13,2018-01-19,8.68,8.64,8.7,8.58,58460.0,002121
14,2018-01-22,8.66,8.76,8.8,8.66,50554.0,002121
15,2018-01-23,8.77,8.98,9.03,8.77,91780.0,002121
16,2018-01-24,8.98,8.93,8.99,8.86,52537.0,002121
17,2018-01-25,8.93,8.85,8.97,8.84,47757.0,002121
18,2018-01-26,8.82,8.75,8.87,8.73,49079.0,002121
19,2018-01-29,8.76,8.62,8.82,8.59,57340.0,002121
20,2018-01-30,8.66,8.67,8.74,8.66,41707.0,002121
21,2018-01-31,8.78,8.67,8.78,8.62,47213.0,002121
22,2018-02-01,8.64,8.3,8.69,8.25,85902.0,002121
23,2018-02-02,8.15,8.59,8.59,7.98,98023.0,002121
