,date,open,close,high,low,volume,code
0,2018-01-02,11.67,11.72,11.74,11.66,12846.0,603196
1,2018-01-03,11.68,11.71,11.74,11.61,16205.0,603196
2,2018-01-04,11.67,11.71,11.74,11.64,15391.0,603196
3,2018-01-05,11.66,11.66,11.75,11.64,11194.0,603196
4,2018-01-08,11.67,11.68,11.72,11.58,14538.0,603196
5,2018-01-09,11.65,11.74,11.82,11.65,21644.0,603196
6,2018-01-10,11.74,11.47,11.76,11.25,18086.0,603196
7,2018-01-11,11.45,11.63,11.65,11.4,16939.0,603196
8,2018-01-12,11.62,11.57,11.62,11.47,14351.0,603196
9,2018-01-15,11.54,11.35,11.57,11.25,20217.0,603196
10,2018-01-16,11.35,11.73,11.8,11.27,42296.0,603196
11,2018-01-17,11.7,11.82,11.94,11.61,35514.0,603196
12,2018-01-18,11.76,12.05,12.3,11.74,53583.0,603196
13,2018-01-19,11.97,12.24,12.45,11.91,64912.0,603196
14,2018-01-22,12.11,11.88,12.26,11.76,44929.0,603196
15,2018-01-23,11.86,11.91,12.01,11.79,22936.0,603196
16,2018-01-24,11.83,11.93,11.95,11.74,22339.0,603196
17,2018-01-25,11.94,11.77,11.94,11.75,23112.0,603196
18,2018-01-26,11.78,11.66,11.85,11.63,15302.0,603196
19,2018-01-29,11.65,11.44,11.74,11.38,22259.0,603196
20,2018-01-30,11.44,11.6,11.69,11.42,18589.0,603196
21,2018-01-31,11.55,12.76,12.76,11.46,126877.0,603196
22,2018-02-01,12.87,12.26,12.88,12.02,143397.0,603196
23,2018-02-02,12.1,11.75,12.24,11.21,92354.0,603196
24,2018-02-05,11.3,10.58,11.45,10.58,89092.0,603196
