,date,open,close,high,low,volume,code
0,2018-01-02,5.74,5.89,5.9,5.72,46693.0,300194
1,2018-01-03,5.9,5.9,5.91,5.85,39470.0,300194
2,2018-01-04,5.89,5.86,5.89,5.84,30057.0,300194
3,2018-01-05,5.86,5.89,5.89,5.85,23267.0,300194
4,2018-01-08,5.89,6.02,6.06,5.87,56692.0,300194
5,2018-01-09,6.02,5.93,6.04,5.9,33926.0,300194
6,2018-01-10,5.95,5.86,5.96,5.81,36258.0,300194
7,2018-01-11,5.84,5.88,5.9,5.81,28828.0,300194
8,2018-01-12,5.87,5.85,5.87,5.82,30718.0,300194
9,2018-01-15,5.84,5.75,5.92,5.71,40904.0,300194
10,2018-01-16,5.75,5.76,5.78,5.71,32947.0,300194
11,2018-01-17,5.77,5.75,5.77,5.69,25543.0,300194
12,2018-01-18,5.73,5.76,5.79,5.73,19642.0,300194
13,2018-01-19,5.76,5.76,5.78,5.73,22055.0,300194
14,2018-01-22,5.75,5.86,5.87,5.71,35446.0,300194
15,2018-01-23,5.86,5.88,5.94,5.83,31130.0,300194
16,2018-01-24,5.93,5.97,5.98,5.86,45519.0,300194
17,2018-01-25,5.94,5.93,6.03,5.91,47420.0,300194
18,2018-01-26,5.93,5.93,5.98,5.91,32063.0,300194
19,2018-01-29,5.9,5.84,5.93,5.83,35974.0,300194
20,2018-01-30,5.83,5.88,5.92,5.83,24434.0,300194
21,2018-01-31,5.85,5.77,5.86,5.75,36220.0,300194
22,2018-02-01,5.79,5.62,5.79,5.61,41312.0,300194
23,2018-02-02,5.43,5.51,5.59,5.43,45887.0,300194
24,2018-02-05,5.5,5.45,5.5,5.39,23642.0,300194
