,date,open,close,high,low,volume,code
0,2018-01-02,20.86,21.09,21.15,20.52,80415.0,300597
1,2018-01-03,20.93,21.55,22.25,20.81,144365.0,300597
2,2018-01-04,21.2,21.48,21.55,20.9,91829.0,300597
3,2018-01-05,21.3,20.69,21.65,20.56,81044.0,300597
4,2018-01-08,20.5,20.48,20.87,19.82,71687.0,300597
5,2018-01-09,20.3,20.4,20.75,19.91,56619.0,300597
6,2018-01-10,20.3,20.0,20.4,19.41,61113.0,300597
7,2018-01-11,19.75,20.99,21.25,19.68,113701.0,300597
8,2018-01-12,20.61,20.08,20.82,20.0,71094.0,300597
9,2018-01-15,19.45,18.36,19.67,18.11,75817.0,300597
10,2018-01-16,18.36,18.6,18.84,18.2,42898.0,300597
11,2018-01-17,18.8,18.8,19.14,18.47,52044.0,300597
12,2018-01-18,18.52,18.22,18.74,18.16,41120.0,300597
13,2018-01-19,18.3,18.28,18.78,18.09,37758.0,300597
14,2018-01-22,18.06,17.81,18.19,17.11,42073.0,300597
15,2018-01-23,17.65,17.55,18.03,17.4,33165.0,300597
16,2018-01-24,17.55,18.0,18.16,17.4,42995.0,300597
17,2018-01-25,17.48,17.3,17.82,17.15,50013.0,300597
18,2018-01-26,17.28,16.6,17.45,16.5,53622.0,300597
19,2018-01-29,16.82,16.51,16.96,16.27,27040.0,300597
20,2018-01-30,16.55,16.17,16.64,16.1,24400.0,300597
21,2018-01-31,16.0,15.09,16.15,14.8,39941.0,300597
22,2018-02-01,15.03,14.54,15.32,14.28,28773.0,300597
23,2018-02-02,14.5,14.35,14.56,13.79,26377.0,300597
24,2018-02-05,14.01,14.61,15.38,13.8,33978.0,300597
