,date,open,close,high,low,volume,code
0,2018-01-02,12.36,12.43,12.48,12.03,8550.0,600250
1,2018-01-03,12.33,12.43,12.49,12.3,8469.0,600250
2,2018-01-04,12.47,12.86,12.95,12.33,18998.0,600250
3,2018-01-05,12.7,12.93,12.97,12.7,6817.0,600250
4,2018-01-08,12.93,12.72,12.93,12.52,5819.0,600250
5,2018-01-09,12.74,12.81,12.82,12.52,3933.0,600250
6,2018-01-10,12.96,12.96,12.97,12.59,6683.0,600250
7,2018-01-11,13.0,12.97,13.0,12.78,5576.0,600250
8,2018-01-12,13.18,13.01,13.18,12.8,8098.0,600250
9,2018-01-15,12.96,12.55,12.96,12.52,6398.0,600250
10,2018-01-16,12.53,12.59,12.67,12.47,5376.0,600250
11,2018-01-17,11.91,12.38,12.6,11.91,9684.0,600250
12,2018-01-18,12.52,12.39,12.52,12.22,3991.0,600250
13,2018-01-19,12.39,12.98,12.99,12.31,16640.0,600250
14,2018-01-22,12.86,12.89,13.04,12.66,7417.0,600250
15,2018-01-23,12.71,12.83,12.96,12.71,7282.0,600250
16,2018-01-24,12.78,12.81,12.94,12.73,6727.0,600250
17,2018-01-25,11.53,11.53,11.53,11.53,4688.0,600250
18,2018-01-26,10.38,10.38,10.68,10.38,123145.0,600250
19,2018-01-29,10.05,9.4,10.07,9.38,80884.0,600250
20,2018-01-30,9.7,9.6,9.86,9.51,54012.0,600250
21,2018-01-31,9.3,8.94,9.3,8.64,49120.0,600250
22,2018-02-01,8.9,8.4,8.95,8.35,33393.0,600250
23,2018-02-02,8.41,8.14,8.45,8.09,26055.0,600250
24,2018-02-05,7.99,8.23,8.31,7.74,16298.0,600250
