,date,open,close,high,low,volume,code
0,2018-01-02,7.16,7.39,7.49,7.14,172362.0,300263
1,2018-01-03,7.37,7.44,7.55,7.31,161565.0,300263
2,2018-01-04,7.41,7.33,7.41,7.21,166437.0,300263
3,2018-01-05,7.24,7.16,7.3,7.13,152573.0,300263
4,2018-01-08,7.17,7.18,7.19,7.03,100335.0,300263
5,2018-01-09,7.17,7.17,7.28,7.1,84606.0,300263
6,2018-01-10,7.11,7.15,7.18,7.01,103811.0,300263
7,2018-01-11,7.14,7.18,7.19,7.07,71291.0,300263
8,2018-01-12,7.15,7.23,7.37,7.14,165488.0,300263
9,2018-01-15,7.2,7.12,7.25,7.0,122476.0,300263
10,2018-01-16,7.05,7.12,7.14,7.05,57847.0,300263
11,2018-01-17,7.09,6.91,7.11,6.7,168428.0,300263
12,2018-01-18,6.87,6.92,6.98,6.8,72887.0,300263
13,2018-01-19,6.88,6.72,6.91,6.72,89740.0,300263
14,2018-01-22,6.72,6.7,6.92,6.55,124784.0,300263
15,2018-01-23,6.69,6.73,6.82,6.69,61127.0,300263
16,2018-01-24,6.74,6.81,6.85,6.66,95066.0,300263
17,2018-01-25,6.82,6.9,7.14,6.8,259713.0,300263
18,2018-01-26,6.87,6.82,6.93,6.81,68781.0,300263
19,2018-01-29,6.81,6.71,6.86,6.45,151532.0,300263
20,2018-01-30,6.65,6.52,6.7,6.47,70503.0,300263
21,2018-01-31,6.53,6.36,6.61,6.34,78886.0,300263
22,2018-02-01,6.37,5.86,6.43,5.85,133909.0,300263
23,2018-02-02,5.86,5.86,5.97,5.74,100505.0,300263
24,2018-02-05,5.79,5.74,5.86,5.7,48625.0,300263
