,date,open,close,high,low,volume,code
0,2018-01-02,25.51,25.87,26.05,25.47,38005.0,600750
1,2018-01-03,25.85,26.25,26.38,25.7,41638.0,600750
2,2018-01-04,26.23,26.3,26.35,26.1,29363.0,600750
3,2018-01-05,26.31,26.38,26.53,26.17,31063.0,600750
4,2018-01-08,26.38,26.87,26.95,26.32,47499.0,600750
5,2018-01-09,26.84,26.89,27.05,26.63,32982.0,600750
6,2018-01-10,26.8,26.5,26.85,26.24,30462.0,600750
7,2018-01-11,26.48,26.71,26.86,26.35,31269.0,600750
8,2018-01-12,26.78,26.42,26.87,26.39,31095.0,600750
9,2018-01-15,26.35,26.38,26.82,26.23,34405.0,600750
10,2018-01-16,26.37,27.26,27.38,26.21,65194.0,600750
11,2018-01-17,27.21,26.92,27.36,26.82,56586.0,600750
12,2018-01-18,26.88,26.87,27.23,26.77,33270.0,600750
13,2018-01-19,26.86,26.45,26.95,26.4,38730.0,600750
14,2018-01-22,26.5,26.92,26.95,26.4,36385.0,600750
15,2018-01-23,26.92,26.99,27.15,26.71,39283.0,600750
16,2018-01-24,26.97,26.87,27.05,26.77,26027.0,600750
17,2018-01-25,26.92,26.76,27.08,26.75,27507.0,600750
18,2018-01-26,26.7,26.23,26.86,26.2,40337.0,600750
19,2018-01-29,26.28,25.84,26.59,25.71,44683.0,600750
20,2018-01-30,25.82,25.94,26.07,25.68,25137.0,600750
21,2018-01-31,25.9,25.23,25.9,25.2,44375.0,600750
22,2018-02-01,25.36,24.92,25.55,24.9,44023.0,600750
23,2018-02-02,24.6,24.35,24.82,24.04,39788.0,600750
24,2018-02-05,23.95,24.07,24.2,23.81,34791.0,600750
