,date,open,close,high,low,volume,code
0,2018-01-02,11.07,11.16,11.19,11.05,7927.0,002637
1,2018-01-03,11.12,11.15,11.21,11.11,9539.0,002637
2,2018-01-04,11.22,11.2,11.37,11.17,13087.0,002637
3,2018-01-05,11.18,10.95,11.33,10.7,40178.0,002637
4,2018-01-08,10.94,10.75,10.96,10.61,29499.0,002637
5,2018-01-09,10.64,10.81,10.85,10.64,16071.0,002637
6,2018-01-10,10.86,10.75,10.89,10.72,9700.0,002637
7,2018-01-11,10.75,10.85,10.86,10.65,12070.0,002637
8,2018-01-12,10.84,10.82,10.84,10.69,10517.0,002637
9,2018-01-15,10.78,10.56,10.82,10.46,13961.0,002637
10,2018-01-16,10.53,10.54,10.65,10.4,20615.0,002637
11,2018-01-17,10.55,10.36,10.55,9.92,41885.0,002637
12,2018-01-18,10.3,10.15,10.3,10.14,13042.0,002637
13,2018-01-19,10.18,10.19,10.26,10.1,12357.0,002637
14,2018-01-22,10.19,10.34,10.44,10.19,8925.0,002637
15,2018-01-23,10.36,10.35,10.49,10.31,7437.0,002637
16,2018-01-24,10.41,10.39,10.55,10.25,10379.0,002637
17,2018-01-25,10.39,10.44,10.56,10.38,13113.0,002637
18,2018-01-26,10.4,10.36,10.51,10.31,10372.0,002637
19,2018-01-29,10.5,10.33,10.5,10.17,13644.0,002637
20,2018-01-30,10.31,10.36,10.5,10.22,11192.0,002637
21,2018-01-31,10.36,10.28,10.36,10.1,11235.0,002637
22,2018-02-01,10.22,9.25,10.28,9.25,40050.0,002637
23,2018-02-02,9.25,9.11,9.59,8.72,68114.0,002637
24,2018-02-05,8.96,8.89,9.12,8.7,23954.0,002637
