,date,open,close,high,low,volume,code
0,2018-01-02,20.52,20.78,20.89,20.2,374100.0,002456
1,2018-01-03,20.85,21.35,21.57,20.83,408006.0,002456
2,2018-01-04,21.35,21.37,21.68,21.18,278257.0,002456
3,2018-01-05,21.37,20.68,21.4,20.5,447255.0,002456
4,2018-01-08,20.67,20.13,20.67,19.8,541350.0,002456
5,2018-01-09,20.14,20.33,20.35,19.89,343458.0,002456
6,2018-01-10,20.38,20.0,20.48,19.88,307113.0,002456
7,2018-01-11,20.01,20.01,20.08,19.46,395528.0,002456
8,2018-01-12,20.09,19.6,20.1,19.58,300614.0,002456
9,2018-01-15,19.57,19.0,19.79,18.7,435721.0,002456
10,2018-01-16,18.98,18.25,18.99,17.52,838806.0,002456
11,2018-01-17,18.15,18.83,19.2,17.5,705426.0,002456
12,2018-01-18,18.52,19.26,19.48,18.46,492115.0,002456
13,2018-01-19,19.1,18.71,19.45,18.57,394688.0,002456
14,2018-01-22,18.55,19.0,19.26,17.94,488623.0,002456
15,2018-01-23,19.1,18.79,19.25,18.68,325530.0,002456
16,2018-01-24,18.63,18.58,18.8,18.25,408454.0,002456
17,2018-01-25,18.5,18.49,18.92,18.26,363593.0,002456
18,2018-01-26,18.3,17.87,18.63,17.7,586165.0,002456
19,2018-01-29,17.7,18.0,18.17,17.6,461780.0,002456
20,2018-01-30,17.94,17.58,18.06,17.36,513949.0,002456
21,2018-01-31,17.5,17.85,18.48,17.5,649407.0,002456
22,2018-02-01,17.66,18.0,18.3,17.53,488221.0,002456
23,2018-02-02,18.09,19.15,19.34,18.09,827015.0,002456
24,2018-02-05,18.65,19.19,19.29,18.6,420325.0,002456
