,date,open,close,high,low,volume,code
0,2018-01-02,11.73,11.79,11.85,11.61,16781.0,603668
1,2018-01-03,11.76,11.86,11.88,11.65,22168.0,603668
2,2018-01-04,11.86,11.75,11.86,11.71,14779.0,603668
3,2018-01-05,11.74,11.78,11.86,11.7,14516.0,603668
4,2018-01-08,11.75,11.6,11.8,11.48,18654.0,603668
5,2018-01-09,11.64,11.7,11.73,11.62,15666.0,603668
6,2018-01-10,11.7,11.48,11.7,11.42,16523.0,603668
7,2018-01-11,11.56,11.57,11.61,11.45,14157.0,603668
8,2018-01-12,11.55,11.26,11.55,11.22,24845.0,603668
9,2018-01-15,11.27,10.55,11.3,10.5,30525.0,603668
10,2018-01-16,10.36,10.7,10.78,10.35,16664.0,603668
11,2018-01-17,10.7,10.87,10.97,10.67,19184.0,603668
12,2018-01-18,10.81,10.88,10.96,10.72,12312.0,603668
13,2018-01-19,10.92,10.89,11.09,10.78,16737.0,603668
14,2018-01-22,10.82,10.92,11.03,10.7,14027.0,603668
15,2018-01-23,10.89,11.27,11.49,10.89,29635.0,603668
16,2018-01-24,11.19,11.21,11.27,11.1,14969.0,603668
17,2018-01-25,11.22,11.14,11.36,11.12,13402.0,603668
18,2018-01-26,11.21,11.01,11.21,11.0,11878.0,603668
19,2018-01-29,11.0,10.81,11.08,10.74,12338.0,603668
20,2018-01-30,10.85,10.78,10.85,10.73,7377.0,603668
21,2018-01-31,10.78,10.7,10.79,10.45,12612.0,603668
22,2018-02-01,10.52,10.17,10.71,10.12,15040.0,603668
23,2018-02-02,10.22,10.18,10.25,10.01,11202.0,603668
24,2018-02-05,10.02,10.46,10.98,9.91,17991.0,603668
