,date,open,close,high,low,volume,code
0,2018-01-02,8.94,8.94,8.97,8.83,9782.0,002134
1,2018-01-03,8.96,8.96,8.98,8.86,16030.0,002134
2,2018-01-04,8.96,8.84,8.96,8.75,13028.0,002134
3,2018-01-05,8.84,8.89,9.0,8.76,14001.0,002134
4,2018-01-08,8.83,8.76,8.94,8.74,8636.0,002134
5,2018-01-09,8.76,8.78,8.85,8.76,4979.0,002134
6,2018-01-10,8.73,8.57,8.76,8.45,13458.0,002134
7,2018-01-11,8.56,8.58,8.6,8.45,6672.0,002134
8,2018-01-12,8.55,8.55,8.57,8.47,5475.0,002134
9,2018-01-15,8.46,8.14,8.5,8.12,10214.0,002134
10,2018-01-16,8.14,8.27,8.28,8.14,6646.0,002134
11,2018-01-17,8.28,8.28,8.31,8.15,8214.0,002134
12,2018-01-18,8.38,8.35,8.38,8.22,4475.0,002134
13,2018-01-19,8.34,8.42,8.46,8.3,5377.0,002134
14,2018-01-22,8.38,8.27,8.38,8.12,7208.0,002134
15,2018-01-23,8.14,8.16,8.3,8.01,7307.0,002134
16,2018-01-24,8.12,8.29,8.33,8.08,9610.0,002134
17,2018-01-25,8.28,8.32,8.39,8.28,7136.0,002134
18,2018-01-26,8.27,8.23,8.37,8.0,7168.0,002134
19,2018-01-29,8.26,8.11,8.26,8.05,7101.0,002134
20,2018-01-30,8.15,8.25,8.28,8.08,7140.0,002134
21,2018-01-31,8.23,7.84,8.23,7.84,30072.0,002134
22,2018-02-01,7.84,7.45,7.87,7.45,17574.0,002134
23,2018-02-02,7.2,7.08,7.26,7.08,29276.0,002134
24,2018-02-05,6.82,6.91,7.0,6.73,26822.0,002134
