,date,open,close,high,low,volume,code
0,2018-01-02,5.58,5.59,5.59,5.53,50460.0,600439
1,2018-01-03,5.57,5.62,5.66,5.54,50763.0,600439
2,2018-01-04,5.61,5.59,5.61,5.58,23093.0,600439
3,2018-01-05,5.58,5.63,5.64,5.56,41598.0,600439
4,2018-01-08,5.62,5.74,5.75,5.61,83138.0,600439
5,2018-01-09,5.75,5.69,5.75,5.68,42042.0,600439
6,2018-01-10,5.68,5.8,5.9,5.67,97750.0,600439
7,2018-01-11,5.79,5.82,5.86,5.76,65105.0,600439
8,2018-01-12,5.81,5.8,5.87,5.78,51670.0,600439
9,2018-01-15,5.8,5.71,5.81,5.71,46014.0,600439
10,2018-01-16,5.7,5.66,5.77,5.65,48621.0,600439
11,2018-01-17,5.66,5.61,5.66,5.56,66306.0,600439
12,2018-01-18,5.63,5.61,5.65,5.59,65522.0,600439
13,2018-01-19,5.58,5.65,5.69,5.55,109716.0,600439
14,2018-01-22,5.61,5.65,5.65,5.58,53245.0,600439
15,2018-01-23,5.61,5.61,5.67,5.6,39955.0,600439
16,2018-01-24,5.61,5.61,5.64,5.57,59627.0,600439
17,2018-01-25,5.6,5.61,5.63,5.58,64972.0,600439
18,2018-01-26,5.59,5.61,5.61,5.58,39112.0,600439
19,2018-01-29,5.6,5.6,5.61,5.56,47256.0,600439
20,2018-01-30,5.59,5.59,5.62,5.57,32863.0,600439
21,2018-01-31,5.58,5.59,5.6,5.57,43630.0,600439
22,2018-02-01,5.59,5.57,5.59,5.55,86034.0,600439
23,2018-02-02,5.56,5.62,5.65,5.01,170050.0,600439
24,2018-02-05,5.59,5.57,5.62,5.47,62599.0,600439
