,date,open,close,high,low,volume,code
0,2018-01-02,10.2,10.55,10.56,10.05,781729.0,002655
1,2018-01-03,10.25,10.25,10.52,10.07,420570.0,002655
2,2018-01-04,10.2,10.28,10.49,10.03,304660.0,002655
3,2018-01-05,10.0,10.27,10.76,9.85,418033.0,002655
4,2018-01-08,10.45,10.19,10.65,10.1,278644.0,002655
5,2018-01-09,10.44,10.31,10.99,10.2,380223.0,002655
6,2018-01-10,10.06,10.88,11.16,10.06,499262.0,002655
7,2018-01-11,10.51,10.48,10.71,10.31,338524.0,002655
8,2018-01-12,10.33,9.88,10.63,9.88,274347.0,002655
9,2018-01-15,9.88,9.82,10.07,9.8,149696.0,002655
10,2018-01-16,9.42,9.63,9.94,9.42,167732.0,002655
11,2018-01-17,9.59,9.77,9.9,9.13,169467.0,002655
12,2018-01-18,9.68,9.45,9.77,9.42,89199.0,002655
13,2018-01-19,9.45,9.24,9.64,9.22,99668.0,002655
14,2018-01-22,9.13,9.37,9.43,9.01,91336.0,002655
15,2018-01-23,9.52,10.16,10.31,9.41,222899.0,002655
16,2018-01-24,10.04,10.07,10.2,9.92,126920.0,002655
17,2018-01-25,10.03,9.82,10.19,9.81,98979.0,002655
18,2018-01-26,9.73,9.95,10.18,9.63,116229.0,002655
19,2018-01-29,9.97,9.85,10.14,9.8,86203.0,002655
20,2018-01-30,9.77,9.63,9.92,9.56,63703.0,002655
21,2018-01-31,9.58,9.33,9.65,9.28,65847.0,002655
22,2018-02-01,9.25,9.25,9.48,9.13,71923.0,002655
23,2018-02-02,9.25,9.66,9.68,9.1,79157.0,002655
24,2018-02-05,9.45,9.38,9.61,9.31,56120.0,002655
