,date,open,close,high,low,volume,code
0,2018-01-02,5.51,5.63,6.14,5.51,81583.0,600854
1,2018-01-03,5.63,5.62,5.67,5.57,61779.0,600854
2,2018-01-04,5.65,5.6,5.65,5.58,33794.0,600854
3,2018-01-05,5.61,5.64,5.72,5.56,55636.0,600854
4,2018-01-08,5.66,5.6,5.66,5.5,39226.0,600854
5,2018-01-09,5.62,5.61,5.64,5.56,36178.0,600854
6,2018-01-10,5.69,5.62,5.7,5.55,62902.0,600854
7,2018-01-11,5.57,5.6,5.61,5.54,25507.0,600854
8,2018-01-12,5.57,5.52,5.6,5.51,31756.0,600854
9,2018-01-15,5.56,5.46,5.56,5.36,48938.0,600854
10,2018-01-16,5.45,5.48,5.6,5.42,41463.0,600854
11,2018-01-17,5.45,5.45,5.48,5.42,39502.0,600854
12,2018-01-18,5.42,5.32,5.48,5.3,64551.0,600854
13,2018-01-19,5.32,5.28,5.33,5.26,47141.0,600854
14,2018-01-22,5.36,5.32,5.36,5.24,32515.0,600854
15,2018-01-23,5.28,5.37,5.53,5.27,69466.0,600854
16,2018-01-24,5.37,5.36,5.43,5.25,42471.0,600854
17,2018-01-25,5.32,5.37,5.39,5.31,32166.0,600854
18,2018-01-26,5.34,5.35,5.39,5.31,31200.0,600854
19,2018-01-29,5.34,5.28,5.35,5.26,46082.0,600854
20,2018-01-30,5.27,5.27,5.3,5.23,21881.0,600854
21,2018-01-31,5.26,5.22,5.26,5.13,45053.0,600854
22,2018-02-01,5.17,4.85,5.19,4.84,67925.0,600854
23,2018-02-02,4.8,4.8,4.88,4.71,34249.0,600854
24,2018-02-05,4.75,4.81,4.84,4.7,19219.0,600854
