,date,open,close,high,low,volume,code
0,2018-01-02,66.93,67.78,68.3,66.28,3643.0,603096
1,2018-01-03,67.5,65.62,68.0,65.0,5579.0,603096
2,2018-01-04,65.9,64.42,66.3,63.8,4987.0,603096
3,2018-01-05,64.01,63.25,64.91,62.47,7394.0,603096
4,2018-01-08,63.41,61.61,63.6,60.66,7343.0,603096
5,2018-01-09,61.3,61.54,62.09,60.85,8716.0,603096
6,2018-01-10,61.6,59.59,62.15,59.01,9502.0,603096
7,2018-01-11,59.4,63.23,64.06,59.01,9946.0,603096
8,2018-01-12,63.01,62.82,63.69,62.52,3847.0,603096
9,2018-01-15,62.22,61.22,63.43,60.6,7401.0,603096
10,2018-01-16,61.0,61.31,62.33,60.73,3565.0,603096
11,2018-01-17,60.92,62.48,62.8,59.68,4782.0,603096
12,2018-01-18,62.22,60.98,62.22,60.6,3049.0,603096
13,2018-01-19,60.5,60.01,61.49,60.0,2912.0,603096
14,2018-01-22,60.05,61.55,62.09,58.96,5655.0,603096
15,2018-01-23,61.55,61.83,62.29,61.54,3256.0,603096
16,2018-01-24,61.6,63.87,65.24,61.18,9396.0,603096
17,2018-01-25,63.1,64.88,66.89,63.1,9531.0,603096
18,2018-01-26,64.48,62.58,65.8,62.52,7331.0,603096
19,2018-01-29,63.64,62.57,64.2,62.01,4358.0,603096
20,2018-01-30,63.1,65.1,65.38,62.21,9261.0,603096
21,2018-01-31,64.71,64.22,65.64,62.5,4503.0,603096
22,2018-02-01,64.2,62.2,64.68,61.17,6032.0,603096
23,2018-02-02,62.18,62.54,63.45,60.3,2657.0,603096
24,2018-02-05,61.7,61.18,62.08,60.6,3352.0,603096
