,date,open,close,high,low,volume,code
0,2018-01-02,9.46,9.47,9.48,9.42,12890.0,600834
1,2018-01-03,9.47,9.53,9.55,9.47,12075.0,600834
2,2018-01-04,9.53,9.65,9.68,9.44,16222.0,600834
3,2018-01-05,9.56,9.6,9.64,9.54,14462.0,600834
4,2018-01-08,9.63,9.51,9.65,9.46,13725.0,600834
5,2018-01-09,9.48,9.47,9.5,9.45,9962.0,600834
6,2018-01-10,9.47,9.4,9.47,9.3,10989.0,600834
7,2018-01-11,9.42,9.39,9.42,9.31,7392.0,600834
8,2018-01-12,9.38,9.38,9.42,9.34,7673.0,600834
9,2018-01-15,9.38,9.17,9.38,9.16,16893.0,600834
10,2018-01-16,9.16,9.3,9.38,9.11,12264.0,600834
11,2018-01-17,9.4,9.48,9.58,9.4,27834.0,600834
12,2018-01-18,9.41,9.42,9.59,9.4,15900.0,600834
13,2018-01-19,9.42,9.36,9.46,9.29,17180.0,600834
14,2018-01-22,9.31,9.31,9.33,9.19,8995.0,600834
15,2018-01-23,9.31,9.34,9.34,9.28,6632.0,600834
16,2018-01-24,9.3,9.34,9.36,9.25,11624.0,600834
17,2018-01-25,9.35,9.39,9.46,9.35,16815.0,600834
18,2018-01-26,9.4,9.52,9.53,9.35,13473.0,600834
19,2018-01-29,9.55,9.39,9.55,9.38,10319.0,600834
20,2018-01-30,9.38,9.39,9.46,9.34,7285.0,600834
21,2018-01-31,9.35,9.26,9.38,9.23,11512.0,600834
22,2018-02-01,9.29,8.75,9.29,8.75,20698.0,600834
23,2018-02-02,8.84,8.7,8.84,8.61,10839.0,600834
24,2018-02-05,8.66,8.61,8.7,8.6,8883.0,600834
