,date,open,close,high,low,volume,code
0,2018-01-02,6.78,6.87,6.95,6.78,23408.0,000529
1,2018-01-03,6.85,6.92,6.93,6.83,18702.0,000529
2,2018-01-04,6.92,6.93,6.95,6.89,14027.0,000529
3,2018-01-05,6.92,7.07,7.1,6.91,31844.0,000529
4,2018-01-08,7.08,7.02,7.11,6.95,28373.0,000529
5,2018-01-09,7.02,6.94,7.02,6.9,22125.0,000529
6,2018-01-10,6.93,6.78,6.93,6.72,31646.0,000529
7,2018-01-11,6.79,7.17,7.17,6.72,69115.0,000529
8,2018-01-12,7.08,7.37,7.6,7.05,136216.0,000529
9,2018-01-15,7.21,6.92,7.24,6.81,75760.0,000529
10,2018-01-16,6.92,7.11,7.13,6.82,38188.0,000529
11,2018-01-17,7.13,7.4,7.55,7.01,84987.0,000529
12,2018-01-18,7.23,7.25,7.3,7.2,60222.0,000529
13,2018-01-19,7.2,7.09,7.25,7.07,34547.0,000529
14,2018-01-22,7.1,7.18,7.2,7.02,23972.0,000529
15,2018-01-23,7.16,7.16,7.25,7.11,19197.0,000529
16,2018-01-24,7.12,7.1,7.16,7.02,30770.0,000529
17,2018-01-25,7.09,7.08,7.13,7.05,22356.0,000529
18,2018-01-26,7.08,7.11,7.17,7.03,23858.0,000529
19,2018-01-29,7.11,7.02,7.14,7.0,25780.0,000529
20,2018-01-30,7.04,6.94,7.05,6.92,18987.0,000529
21,2018-01-31,6.92,6.72,6.93,6.61,31392.0,000529
22,2018-02-01,6.71,6.16,6.76,6.05,74795.0,000529
23,2018-02-02,5.81,6.06,6.19,5.81,30588.0,000529
24,2018-02-05,6.0,6.08,6.14,5.93,13529.0,000529
