ratio,word
0.28585235635771067,水泥
0.21150352338997355,雄安
0.2017658294164435,石墨烯
0.17589068745579434,涨价
0.16066598129478746,带动
0.1492475524166838,开门红
0.1427922491114241,补量
0.14172903935675135,国资
0.12698108486545337,纠结
0.12622885677716725,疯牛
0.12399664468806974,炒作
0.12316811533916582,石油
0.12132074431457368,央企
0.11673493737273075,驱动
0.11313604547612907,全面
0.10760844235543654,3400点
0.10683804075778719,昨日
0.1027677224049627,暴动
0.09585393061575262,概念
0.09397741787139999,激发
0.09358569449267354,改革
0.09325508280608608,迎来
0.09104881177084209,阳线
0.08666331649160668,转换
0.08312617988029136,反攻
0.07828285847246691,7点
0.07738789589484933,出台
0.07553697263927626,电术
0.07553697263927626,三连阳
0.07553697263927626,带动点
0.07553697263927626,新规严管
0.07553697263927626,大湾区
0.07553697263927626,一带一路
0.07553697263927626,钛白粉
0.07553697263927626,投放金
0.07553697263927626,春前节
0.07553697263927626,中小盘
0.07553697263927626,收官红
0.07553697263927626,杆杆
0.07553697263927626,五连阳
0.07553697263927626,安新区
0.07553697263927626,际家嘴
0.07515401700405308,参与
0.07256118055966061,市场
0.07241562212452071,涨停
0.07041204153392149,原油
0.07006774608915117,规划
0.06897388370564393,中车
0.06897388370564393,万年青
0.06868459050755159,主线
0.06774313634632328,协同
0.06773410745418802,代表
0.06762082017159665,股指
0.06725527647214784,道氏
0.06706827369234931,2018年
0.06704455596716802,投资者
0.06633214410551366,导向
0.06592222113738803,物贸
0.06560955622848366,买入
0.06459759843108907,节后
0.06451762787829883,距离
0.06436755276951246,个股
0.06391214239038948,台泥
0.06361444952575127,2017年
0.06293340914468012,经济
0.06257159482256329,切换
0.062009607379601706,作为
0.060429578111421016,pmi
0.060429578111421016,df305
0.06021401392406682,上峰
0.06021401392406682,盛极而衰
0.05964112591541227,资源
0.05935572993068613,超出
0.058880658298910434,风格
0.05876145020003621,规律
0.05869313089980089,新高
0.05861140996644486,华贸
0.058365199340663004,如期
0.058110187872795954,思维
0.0578827890966507,地产
0.05734905345675713,斜率
0.057261726422850684,再度
0.056440751487594726,板块
0.05630746963549978,碳素
0.0560731658405026,以方
0.055757583824092016,热点
0.0550385046248049,最高
0.055022398341809865,否极泰来
0.05474430473403525,集体
0.05417804918340681,能源
0.054173353359410356,政策
0.053650924990434466,尿素
0.0535110942395759,格局
0.05335216368835785,荣枯线
0.05237789060570577,反弹
0.05159482321538932,监管
0.051489598139696814,判别
0.0499413156034275,业绩
0.049604187739190286,周二
0.04906735728962869,存单
