ratio,word
0.40318366609706885,十连阳
0.24668861836372924,华泰
0.20171471919935446,券商
0.19250142948709953,疯牛
0.1782433320390725,价值
0.1610299587629614,鸡毛
0.14684066707440308,证券
0.13584185776566468,阳
0.13030230035007706,散户
0.12616160125864612,公积金
0.1239690859791433,股民
0.12122096150551445,梯队
0.12024540207822391,含金量
0.11633563764930188,净资产
0.1151953331705911,其心可诛
0.1151953331705911,牛屎
0.1151953331705911,坑民
0.1151953331705911,阴吞
0.1151953331705911,轧空
0.1151953331705911,a股
0.1151953331705911,处慢牛
0.09842057702513315,龙头
0.09485683683343762,国际化
0.09421777977068796,权重股
0.09102396249775688,紧急
0.08525781284488247,分配
0.08229829776215553,哀鸿
0.08085963489216585,增长
0.08063673321941377,毛台快
0.08063673321941377,阳跟十
0.08001489888177231,投资
0.0790242440398761,遍野
0.0780471905330421,灰飞烟灭
0.0780471905330421,叫苦
0.07774348122021246,连天
0.0768345046634988,收购
0.0764896905081354,冲向
0.07623304154532874,赞歌
0.07584914298112563,利润
0.07573995673235186,平衡
0.07538679199278667,指数
0.07450896447864377,主要矛盾
0.07350646872590622,资产
0.07157919755354988,小盘
0.0708649856401629,所谓
0.07050614278237018,重仓
0.07037216337239623,摸不着
0.06960720217703635,韭菜
0.06930650043584956,阴线
0.06835253802306365,自查
0.06785340469981055,成长
0.06618212433706006,麻木
0.06549498100587249,不得了
0.06532684041097982,下来
0.06457929782389053,具备
0.06439600748126405,面值
0.06378509994799379,金融
0.06338441340890605,东西
0.06278689011892813,高喊
0.06233550687259013,真理
0.06203766521404988,人民日报
0.06194341517076784,风险
0.061646599354862046,呼叫
0.06149475524513019,发文
0.06100614294709996,牛市
0.05997281975082158,突显
0.059567569352875785,股
0.059357015419193575,天真
0.058202724751204006,利空
0.05784271714193496,上当
0.05727262010359572,停牌
0.05708338967571247,不可不
0.05635372524570238,互联网
0.05598526047308885,科技
0.05431841255060782,离去
0.05408639192758576,跌
0.052739572213670156,争论
0.05253565566639631,管理
0.05127913637641891,原始
0.05101198100150699,绩
0.050978968792691697,完全
0.05068554160091428,盘中
0.04976790164035522,起点
0.049596325275799956,叫做
0.04908087673879165,个股
0.0484354518982548,连
0.04771144156797036,切换
0.04760154354433995,回去
0.04743377907335209,大盘
0.046852534106700316,元
0.04667284944247756,检验
0.04642469940465638,好事
0.04603936310027793,高管
0.04598418307899427,轮番
0.04573173227143951,讲话
0.04519617808931745,没什么
0.04514181223420169,利好
0.04436198619361456,美国
0.04413244918207567,亏损
0.04276279207157947,可惜
